id,province_id,country_id,sort_order,name,blurb,is_capital,enabled,date_created,created_by,date_modified,modified_by,note
676,275,102,999,Ogliastra,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
678,42,219,999,Oklahoma City,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
679,20,219,999,Olathe,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
680,248,102,999,Olbia,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
681,12,219,999,Oldsmar,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
682,267,102,999,Oliveto Citra,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
683,32,219,999,Omaha,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
684,282,102,999,Omegna,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
686,6,219,999,Ontario,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
687,6,219,999,Orange,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
688,12,219,999,Orange Park,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
689,228,102,999,Orbetello,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
690,198,102,999,Orio Al Serio,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
691,249,102,999,Oristano,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
692,12,219,999,Orlando,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
693,12,219,999,Ormond Beach,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
694,205,102,999,Ortisei,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
695,274,102,999,Orvieto,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
696,27,219,999,Oscoda,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
697,58,219,999,Oshkosh,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
698,282,102,999,Ossola,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
699,188,102,999,Ostia,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
700,207,102,999,Ostuni,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
701,17,219,999,Oswego,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
702,302,36,999,Ottawa,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
703,322,14,999,Out Of Order,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
704,20,219,999,Overland Park,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
705,12,219,999,Oviedo,,0,1,2021-08-03 14:40:07,4,2021-08-03 14:40:07,4,
